event_count,country_United_States,country_Saudi_Arabia,country_India,country_Britain,country_Italy,average_load_time,max_load_time,event_bench_load_success_count,event_profile_search_success_count,event_add_profile_success_count,event_upgrade_plan_count,event_pricing_model_count,event_profile_load_fail_count,event_email_receipt_count,platform_all_count,platform_brbench_count,platform_fb_count,platform_hashtags_count,platform_ig._count,platform_ig_count,platform_li_count,platform_meta_count,platform_nan_count,platform_tk_count,platform_tw_count,platform_xch_count,platform_yt_count,platform_total_count,view_add,view_addprofiles,view_ads,view_bench,view_benchmark,view_brands,view_campaigns,view_connect,view_content-pillars,view_hashtag,view_nan,view_page,view_postsfeed,view_profile,view_proj,view_projecthome,view_reports,view_search,view_settings,view_upgradeplan
14,0,0,0,1,0,0.226,0.378,2,1,1,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,6,0,20.604,0,0,0,0,5,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0
9,0,0,0,1,0,1.741,3.141,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,18.882,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1
49,0,0,0,0,0,3.5415,7.144,0,5,2,0,0,0,0,0,0,0,0,0,26,0,0,1,0,0,22,0,66.6855,0,0,0,0,0,0,0,0,0,0,25,0,0,21,0,3,0,0,0,0
29,0,0,0,0,0,1.6505,2.166,0,2,1,0,0,1,5,0,0,0,0,0,0,0,0,7,13,0,9,0,41.8165,0,0,0,0,0,0,1,0,0,0,17,0,0,11,0,0,0,0,0,0
4,1,0,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,8.882,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,1.8546,2.281,0,4,4,0,0,0,4,0,0,0,0,0,17,0,0,12,12,0,19,0,76.1356,0,0,0,0,0,0,0,0,0,0,35,0,0,19,0,6,0,0,0,0
2,0,1,0,0,0,1.741,3.141,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8.882,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
17,0,0,1,0,0,1.741,3.141,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,11,0,25.882,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0
535,0,0,0,0,0,1.9620697674418608,11.042,0,19,19,2,2,37,0,0,0,134,0,0,175,0,0,1,0,0,162,63,627.0040697674419,0,0,0,0,0,12,0,0,0,0,137,0,0,315,0,69,0,0,0,2
544,0,0,0,0,0,6.850483333333333,76.186,5,20,18,7,5,0,0,0,0,0,0,0,0,305,0,7,0,0,219,17,686.0364833333333,0,0,0,0,21,0,7,0,0,5,147,0,52,257,0,46,3,0,3,7
32,0,0,0,0,0,1.741,3.141,0,1,1,0,0,0,12,0,0,0,0,0,0,0,0,18,3,0,11,0,50.882,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,2,0,0,0,0
91,0,0,0,0,0,1.17775,1.832,0,8,2,0,0,0,12,0,0,13,0,0,24,0,0,18,0,0,36,0,116.00975,0,0,0,0,0,0,0,0,0,0,53,0,0,31,0,6,0,0,1,0
31,0,1,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,31,0,39.882,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6.882,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
21,0,0,0,1,0,1.3065,1.466,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,12,0,26.7725,0,0,0,0,0,0,0,0,0,0,10,0,4,5,0,1,1,0,0,0
466,0,0,0,0,0,2.606172839506173,24.556,10,9,3,3,1,0,2,0,3,63,0,0,98,59,5,7,1,1,229,1,522.1621728395062,0,0,0,0,51,33,29,0,0,0,46,0,68,161,0,28,49,0,2,0
9,0,0,0,0,0,1.741,3.141,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,21.882,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4
167,0,0,0,0,0,1.132591836734694,3.272,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,148,0,18,0,179.40459183673468,0,0,0,0,0,0,0,0,0,0,20,0,147,0,0,0,0,0,0,0
20,0,0,0,0,0,1.741,3.141,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,16,0,0,4,0,36.882,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
57,0,0,0,0,0,0.915,0.915,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,31,0,0,27,0,71.83,0,0,0,0,0,0,0,0,0,12,43,0,0,0,0,3,0,0,0,0
33,0,0,0,0,0,1.741,3.141,0,3,0,0,0,0,12,0,0,0,0,0,0,0,0,19,0,0,14,0,52.882,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0
331,0,0,0,0,0,1.9356290322580645,25.211,0,5,4,0,0,0,12,0,0,213,0,0,60,0,1,16,0,0,43,0,381.146629032258,0,0,0,0,0,0,0,0,0,0,50,0,9,258,0,16,0,0,0,0
