event_count,country_United_States,country_Saudi_Arabia,country_India,country_Britain,country_Italy,average_load_time,max_load_time,event_bench_load_success_count,event_profile_search_success_count,event_add_profile_success_count,event_upgrade_plan_count,event_pricing_model_count,event_profile_load_fail_count,event_email_receipt_count,platform_all_count,platform_brbench_count,platform_fb_count,platform_hashtags_count,platform_ig._count,platform_ig_count,platform_li_count,platform_meta_count,platform_nan_count,platform_tk_count,platform_tw_count,platform_xch_count,platform_yt_count,platform_total_count,view_add,view_addprofiles,view_ads,view_bench,view_benchmark,view_brands,view_campaigns,view_connect,view_content-pillars,view_hashtag,view_nan,view_page,view_postsfeed,view_profile,view_proj,view_projecthome,view_reports,view_search,view_settings,view_upgradeplan
3,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9.882,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
7,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,17.881999999999998,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3
88,0,0,0,0,0,0.5496666666666666,0.845,1,3,1,0,0,0,9,0,0,0,0,0,8,0,0,13,0,0,67,0,103.39466666666667,0,0,0,0,4,0,11,0,0,0,36,0,12,0,0,14,11,0,0,0
100,0,0,0,1,0,2.5514,13.913,11,6,5,0,0,0,11,0,0,0,0,0,0,60,0,20,0,0,20,0,150.4644,0,0,0,0,50,0,4,0,0,0,43,0,0,0,0,2,1,0,0,0
33,0,0,0,0,0,7.180000000000001,13.595,0,1,1,0,0,0,0,0,0,0,0,0,27,0,0,1,0,0,5,0,55.775000000000006,0,0,0,0,0,0,0,0,0,0,9,0,0,24,0,0,0,0,0,0
36,0,0,0,0,0,1.9226666666666665,2.06,1,2,1,0,0,0,7,0,0,0,0,0,0,0,0,13,13,0,10,0,50.98266666666667,0,0,0,0,6,0,0,0,0,0,25,0,0,4,0,1,0,0,0,0
36,0,0,0,0,0,7.904333333333334,21.178,1,2,1,0,0,0,12,0,0,10,0,0,0,0,0,16,0,0,10,0,81.08233333333334,0,0,0,0,3,0,3,0,0,0,25,0,0,4,0,1,0,0,0,0
35,0,0,0,0,0,1.7409999999999999,3.141,0,1,0,0,0,0,11,0,0,0,0,0,0,1,0,27,0,0,7,0,51.882,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0
55,0,0,0,0,0,1.1092,1.692,0,3,2,0,0,0,8,0,0,23,0,0,0,2,0,11,0,0,19,0,70.8012,0,0,0,0,0,7,0,0,0,0,28,0,0,20,0,0,0,0,0,0
48,0,0,0,0,0,1.542,1.617,0,1,1,0,0,0,11,0,0,0,0,0,15,0,0,27,0,0,6,0,64.15899999999999,0,0,0,0,0,0,0,0,0,0,36,0,0,12,0,0,0,0,0,0
99,0,0,0,0,0,7.737875000000001,25.96,0,5,3,0,0,0,12,0,0,2,0,0,0,31,0,16,0,17,33,0,152.697875,0,0,0,0,0,0,2,0,0,0,41,0,0,44,0,10,2,0,0,0
19,0,0,0,0,0,1.7409999999999999,3.141,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,15,0,29.881999999999998,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,1,0,0,0,0
67,0,0,0,0,0,1.4334,1.952,0,3,2,0,0,0,12,0,0,0,0,0,31,0,0,18,0,0,18,0,87.3854,0,0,0,0,0,0,0,0,0,0,36,0,0,25,0,6,0,0,0,0
21,0,0,0,1,0,1.459,1.828,0,1,1,2,2,1,1,0,0,0,0,0,0,0,0,4,7,0,10,0,33.287,0,0,0,0,0,0,0,0,0,0,14,0,0,5,0,0,0,0,0,2
129,0,0,0,0,0,5.735791666666667,27.193,1,1,1,0,0,0,0,0,0,84,0,0,0,0,0,1,0,0,44,0,164.92879166666665,0,0,0,0,3,0,3,0,0,0,11,0,24,74,0,3,11,0,0,0
9,0,0,1,0,0,1.7409999999999999,3.141,0,0,0,3,3,0,0,0,0,2,0,0,0,1,0,0,0,0,6,0,20.881999999999998,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,2
32,0,0,0,0,0,0.254,0.332,2,2,1,0,0,0,1,0,0,0,0,0,9,0,0,6,0,0,17,0,38.586,0,0,0,0,7,0,3,0,0,0,16,0,3,0,0,2,1,0,0,0
16,1,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,12,0,0,4,0,29.881999999999998,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,1,0,0,0,0
302,0,0,1,0,0,0.9537333333333334,1.94,50,15,4,0,0,0,9,0,3,56,0,0,51,9,0,21,0,51,84,27,383.89373333333333,0,0,0,0,155,8,12,0,0,0,81,0,3,29,0,14,0,0,0,0
38,0,0,0,0,0,1.7409999999999999,3.141,0,1,2,0,0,0,12,0,0,2,0,0,2,0,0,23,0,0,11,0,57.882,0,0,0,0,0,0,2,0,0,0,34,0,0,0,0,2,0,0,0,0
90,0,0,1,0,0,0.4676315789473684,1.023,2,2,1,0,0,0,2,0,0,0,0,0,35,0,0,8,0,0,47,0,99.49063157894737,0,0,0,0,7,0,10,0,0,0,16,0,55,0,0,1,1,0,0,0
17,0,0,0,0,0,1.7409999999999999,3.141,0,2,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,14,0,24.881999999999998,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,2,0,0,0,0
137,0,0,0,1,0,1.3539166666666667,2.052,0,15,5,0,0,0,12,0,0,0,0,0,67,0,0,16,0,0,54,0,173.40591666666666,0,0,0,0,0,0,0,0,0,0,72,0,0,53,0,12,0,0,0,0
2,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6.882,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,1.7409999999999999,2.306,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,33,0,53.047,0,0,0,0,0,0,0,0,0,0,36,0,0,10,0,1,0,0,0,0
102,0,0,0,0,0,1.400857142857143,1.763,0,3,3,0,0,0,11,0,0,14,0,0,9,0,0,17,0,11,51,0,122.16385714285714,0,0,0,0,0,8,0,0,0,0,45,0,0,26,0,11,0,0,12,0
195,0,0,0,0,0,1.4853809523809525,3.424,19,19,19,0,0,0,3,0,0,0,0,0,83,0,0,11,52,0,49,0,259.90938095238096,0,0,0,0,62,0,0,0,0,0,92,0,0,35,0,6,0,0,0,0
3,0,0,1,0,0,1.7409999999999999,3.141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,8.882,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,1.7409999999999999,3.141,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9.882,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1
